experiment_id,model_family,base_model,features,serializer_name,split_type,seed,fold_id,max_length,epochs,learning_rate,batch_size,class_weight_power,label_smoothing,replay_mode,replay_size,macro_f1_raw,macro_f1_bias_tuned,macro_f1,weakest_classes,top_confusions,prediction_distribution,artifact_path,val_logits_path,test_logits_path,inference_time_sec,runtime_sec,artifact_size_mb,train_command,notes,decision
20260701_191727_gpu_transformer_session_current_v1_len256_B1-focal-len256-5ep-batch12,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,42,,256,5,2e-05,12,0.5,0.02,none,0,0.732274,0.736614,0.736614,list_directory:0.4717;read_file:0.5723;web_search:0.5828;grep_search:0.5993;glob_pattern:0.6251,"[[598, ""grep_search"", ""read_file""], [345, ""read_file"", ""list_directory""], [262, ""list_directory"", ""read_file""], [258, ""grep_search"", ""list_directory""], [234, ""glob_pattern"", ""read_file""], [233, ""read_file"", ""grep_search""], [145, ""glob_pattern"", ""list_directory""], [134, ""ask_user"", ""plan_task""]]","{""apply_patch"": 935, ""ask_user"": 469, ""edit_file"": 2244, ""glob_pattern"": 747, ""grep_search"": 1437, ""lint_or_typecheck"": 480, ""list_directory"": 1259, ""plan_task"": 563, ""read_file"": 2292, ""respond_only"": 1052, ""run_bash"": 1001, ""run_tests"": 893, ""web_search"": 321, ""write_file"": 308}",,experiments/logits/20260701_191727_gpu_transformer_session_current_v1_len256_B1-focal-len256-5ep-batch12_val_logits.pt,,,3843.359,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --split session --device cuda --epochs 5 --batch-size 12 --eval-batch-size 64 --max-length 256 --lr 2e-5 --loss focal --focal-gamma 2.0 --tune-bias --notes 'B1: focal len256 5ep batch12',B1: focal len256 5ep batch12,keep as GPU candidate
20260701_201619_gpu_transformer_session_current_v1_len192_replay-last1_B2-focal-len192-replay_last1-cap10000-5ep-batch1,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,42,,192,5,2e-05,16,0.5,0.02,last1,10000,0.735109,0.744391,0.744391,list_directory:0.4498;read_file:0.5680;grep_search:0.5915;glob_pattern:0.6228;ask_user:0.6298,"[[650, ""grep_search"", ""read_file""], [325, ""read_file"", ""list_directory""], [311, ""list_directory"", ""read_file""], [263, ""glob_pattern"", ""read_file""], [240, ""grep_search"", ""list_directory""], [206, ""read_file"", ""grep_search""], [190, ""ask_user"", ""plan_task""], [130, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 924, ""ask_user"": 461, ""edit_file"": 2253, ""glob_pattern"": 747, ""grep_search"": 1370, ""lint_or_typecheck"": 380, ""list_directory"": 1159, ""plan_task"": 664, ""read_file"": 2471, ""respond_only"": 1053, ""run_bash"": 1042, ""run_tests"": 944, ""web_search"": 226, ""write_file"": 307}",,experiments/logits/20260701_201619_gpu_transformer_session_current_v1_len192_replay-last1_B2-focal-len192-replay_last1-cap10000-5ep-batch1_val_logits.pt,,,3456.780,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --split session --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --tune-bias --notes 'B2: focal len192 replay_last1 cap10000 5ep batch16',B2: focal len192 replay_last1 cap10000 5ep batch16,keep as GPU candidate
20260701_222706_gpu_transformer_session_current_v1_len192_S1-1-focal-len192-5ep-FGM-eps1.0,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,42,,192,5,2e-05,16,0.5,0.02,none,0,0.718962,0.724287,0.724287,list_directory:0.4733;web_search:0.5237;read_file:0.5712;grep_search:0.5833;lint_or_typecheck:0.6137,"[[642, ""grep_search"", ""read_file""], [352, ""read_file"", ""list_directory""], [277, ""grep_search"", ""list_directory""], [270, ""list_directory"", ""read_file""], [241, ""glob_pattern"", ""read_file""], [177, ""read_file"", ""grep_search""], [160, ""run_bash"", ""run_tests""], [154, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 916, ""ask_user"": 530, ""edit_file"": 2261, ""glob_pattern"": 829, ""grep_search"": 1235, ""lint_or_typecheck"": 559, ""list_directory"": 1307, ""plan_task"": 515, ""read_file"": 2377, ""respond_only"": 1051, ""run_bash"": 896, ""run_tests"": 907, ""web_search"": 310, ""write_file"": 308}",,experiments/logits/20260701_222706_gpu_transformer_session_current_v1_len192_S1-1-focal-len192-5ep-FGM-eps1.0_val_logits.pt,,,4845.397,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --split session --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --fgm --fgm-eps 1.0 --tune-bias --notes 'S1-1: focal len192 5ep + FGM eps1.0',S1-1: focal len192 5ep + FGM eps1.0,keep as GPU candidate
20260701_230939_gpu_transformer_session_oof_current_v1_len192_fold0-of3_S1-2-OOF-fold0,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold0_of3,42,0/3,192,5,2e-05,16,0.5,0.02,none,0,0.720907,,0.720907,list_directory:0.4686;read_file:0.5343;web_search:0.5590;lint_or_typecheck:0.5888;grep_search:0.5995,"[[787, ""grep_search"", ""read_file""], [636, ""read_file"", ""list_directory""], [627, ""read_file"", ""grep_search""], [473, ""grep_search"", ""list_directory""], [307, ""list_directory"", ""read_file""], [294, ""run_bash"", ""run_tests""], [274, ""glob_pattern"", ""read_file""], [253, ""ask_user"", ""plan_task""]]","{""apply_patch"": 1695, ""ask_user"": 720, ""edit_file"": 3649, ""glob_pattern"": 1433, ""grep_search"": 2908, ""lint_or_typecheck"": 720, ""list_directory"": 2219, ""plan_task"": 968, ""read_file"": 3019, ""respond_only"": 1730, ""run_bash"": 1515, ""run_tests"": 1740, ""web_search"": 517, ""write_file"": 501}",,experiments/logits/20260701_230939_gpu_transformer_session_oof_current_v1_len192_fold0-of3_S1-2-OOF-fold0_val_logits.pt,,,2419.473,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 0 --notes 'S1-2 OOF fold0',S1-2 OOF fold0,oof fold complete; aggregate before decision
20260701_235001_gpu_transformer_session_oof_current_v1_len192_fold1-of3_S1-2-OOF-fold1,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold1_of3,42,1/3,192,5,2e-05,16,0.5,0.02,none,0,0.716689,,0.716689,list_directory:0.4662;read_file:0.5275;web_search:0.5706;lint_or_typecheck:0.5903;grep_search:0.6014,"[[799, ""grep_search"", ""read_file""], [641, ""read_file"", ""list_directory""], [619, ""read_file"", ""grep_search""], [459, ""grep_search"", ""list_directory""], [317, ""list_directory"", ""read_file""], [278, ""glob_pattern"", ""read_file""], [269, ""run_bash"", ""run_tests""], [249, ""run_tests"", ""lint_or_typecheck""]]","{""apply_patch"": 1685, ""ask_user"": 756, ""edit_file"": 3662, ""glob_pattern"": 1476, ""grep_search"": 2895, ""lint_or_typecheck"": 889, ""list_directory"": 2195, ""plan_task"": 833, ""read_file"": 3022, ""respond_only"": 1725, ""run_bash"": 1548, ""run_tests"": 1526, ""web_search"": 617, ""write_file"": 504}",,experiments/logits/20260701_235001_gpu_transformer_session_oof_current_v1_len192_fold1-of3_S1-2-OOF-fold1_val_logits.pt,,,2418.558,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 1 --notes 'S1-2 OOF fold1',S1-2 OOF fold1,oof fold complete; aggregate before decision
20260702_003021_gpu_transformer_session_oof_current_v1_len192_fold2-of3_S1-2-OOF-fold2,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session_oof_fold2_of3,42,2/3,192,5,2e-05,16,0.5,0.02,none,0,0.718151,,0.718151,list_directory:0.4652;read_file:0.5322;web_search:0.5681;lint_or_typecheck:0.5873;grep_search:0.6196,"[[763, ""grep_search"", ""read_file""], [655, ""read_file"", ""grep_search""], [570, ""read_file"", ""list_directory""], [402, ""grep_search"", ""list_directory""], [394, ""list_directory"", ""read_file""], [292, ""run_bash"", ""run_tests""], [291, ""glob_pattern"", ""read_file""], [229, ""glob_pattern"", ""grep_search""]]","{""apply_patch"": 1739, ""ask_user"": 770, ""edit_file"": 3611, ""glob_pattern"": 1404, ""grep_search"": 3026, ""lint_or_typecheck"": 843, ""list_directory"": 2005, ""plan_task"": 847, ""read_file"": 3127, ""respond_only"": 1731, ""run_bash"": 1494, ""run_tests"": 1630, ""web_search"": 610, ""write_file"": 496}",,experiments/logits/20260702_003021_gpu_transformer_session_oof_current_v1_len192_fold2-of3_S1-2-OOF-fold2_val_logits.pt,,,2416.142,0.000,train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --keep-threshold 0.0 --split session_oof --n-folds 3 --fold-id 2 --notes 'S1-2 OOF fold2',S1-2 OOF fold2,oof fold complete; aggregate before decision
oof_focal_len192_ep5_s1,torch_gpu_transformer_oof,,serialized prompt/action/workspace text,,session_oof,,oof,,,,,,,,,0.718657,0.722769,0.722769,list_directory:0.4716;read_file:0.5528;web_search:0.5676;lint_or_typecheck:0.5913;grep_search:0.5982,"[[2878, ""grep_search"", ""read_file""], [1943, ""read_file"", ""list_directory""], [1407, ""grep_search"", ""list_directory""], [1348, ""read_file"", ""grep_search""], [1113, ""list_directory"", ""read_file""], [1048, ""glob_pattern"", ""read_file""], [851, ""run_bash"", ""run_tests""], [757, ""ask_user"", ""plan_task""]]","{""apply_patch"": 4771, ""ask_user"": 2094, ""edit_file"": 11304, ""glob_pattern"": 3854, ""grep_search"": 7548, ""lint_or_typecheck"": 2138, ""list_directory"": 6728, ""plan_task"": 2919, ""read_file"": 10586, ""respond_only"": 5181, ""run_bash"": 4744, ""run_tests"": 5033, ""web_search"": 1620, ""write_file"": 1480}",,experiments/logits/20260701_230939_gpu_transformer_session_oof_current_v1_len192_fold0-of3_S1-2-OOF-fold0_val_logits.pt;experiments/logits/20260701_235001_gpu_transformer_session_oof_current_v1_len192_fold1-of3_S1-2-OOF-fold1_val_logits.pt;experiments/logits/20260702_003021_gpu_transformer_session_oof_current_v1_len192_fold2-of3_S1-2-OOF-fold2_val_logits.pt,,,,,,S1-2 OOF aggregate: focal len192 5ep finalist,oof aggregate complete
oof_rules_focal_s1,torch_gpu_transformer_oof_rule_boost,,OOF logits + deterministic sample/logit rule boosts,,session_oof,,oof,,,,,,,,,0.722769,0.734126,0.734126,list_directory:0.4717;read_file:0.5528;grep_search:0.5982;lint_or_typecheck:0.6119;web_search:0.6396,"[[2878, ""grep_search"", ""read_file""], [1943, ""read_file"", ""list_directory""], [1407, ""grep_search"", ""list_directory""], [1349, ""read_file"", ""grep_search""], [1113, ""list_directory"", ""read_file""], [1048, ""glob_pattern"", ""read_file""], [745, ""ask_user"", ""plan_task""], [735, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 4770, ""ask_user"": 2389, ""edit_file"": 11304, ""glob_pattern"": 3854, ""grep_search"": 7550, ""lint_or_typecheck"": 2358, ""list_directory"": 6730, ""plan_task"": 2898, ""read_file"": 10586, ""respond_only"": 5181, ""run_bash"": 4809, ""run_tests"": 4750, ""web_search"": 1341, ""write_file"": 1480}",experiments/artifacts/oof_rules_focal_s1_rule_boosts.json,experiments/logits/20260701_230939_gpu_transformer_session_oof_current_v1_len192_fold0-of3_S1-2-OOF-fold0_val_logits.pt;experiments/logits/20260701_235001_gpu_transformer_session_oof_current_v1_len192_fold1-of3_S1-2-OOF-fold1_val_logits.pt;experiments/logits/20260702_003021_gpu_transformer_session_oof_current_v1_len192_fold2-of3_S1-2-OOF-fold2_val_logits.pt,,,,,,S1-3 rule boosts on focal OOF,rule boost diagnostic complete
20260702_013201_gpu_transformer_session_current_v1_len192_S1-4-final-focal-len192-5ep-full-70k-refit,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,42,,192,5,2e-05,16,0.5,0.02,none,0,0.730498,0.735537,0.735537,list_directory:0.4751;read_file:0.5615;web_search:0.5959;grep_search:0.5959;ask_user:0.6123,"[[532, ""grep_search"", ""read_file""], [370, ""read_file"", ""list_directory""], [277, ""grep_search"", ""list_directory""], [256, ""read_file"", ""grep_search""], [222, ""list_directory"", ""read_file""], [194, ""glob_pattern"", ""read_file""], [180, ""ask_user"", ""plan_task""], [147, ""glob_pattern"", ""list_directory""]]","{""apply_patch"": 922, ""ask_user"": 373, ""edit_file"": 2264, ""glob_pattern"": 885, ""grep_search"": 1473, ""lint_or_typecheck"": 442, ""list_directory"": 1328, ""plan_task"": 652, ""read_file"": 2058, ""respond_only"": 1051, ""run_bash"": 1034, ""run_tests"": 891, ""web_search"": 325, ""write_file"": 303}",model_final,experiments/logits/20260702_013201_gpu_transformer_session_current_v1_len192_S1-4-final-focal-len192-5ep-full-70k-refit_val_logits.pt,,,2911.537,1077.025,"train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --tune-bias --final-model --output-dir model_final --keep-threshold 0.0 --notes 'S1-4 final: focal len192 5ep, full 70k refit'","S1-4 final: focal len192 5ep, full 70k refit",keep as GPU candidate
20260702_044710_gpu_transformer_session_current_v1_len192_replay-last1_S1-4b-final-focal-replay-len192-5ep-full-70k-ref,torch_gpu_transformer,xlm-roberta-base,serialized prompt/action/workspace text,current_v1,session,42,,192,5,2e-05,16,0.5,0.02,last1,10000,0.724546,0.731747,0.731747,list_directory:0.4743;read_file:0.5569;web_search:0.5603;grep_search:0.5961;lint_or_typecheck:0.6137,"[[535, ""grep_search"", ""read_file""], [397, ""read_file"", ""list_directory""], [294, ""grep_search"", ""list_directory""], [246, ""read_file"", ""grep_search""], [224, ""list_directory"", ""read_file""], [209, ""glob_pattern"", ""read_file""], [158, ""glob_pattern"", ""list_directory""], [132, ""plan_task"", ""ask_user""]]","{""apply_patch"": 955, ""ask_user"": 578, ""edit_file"": 2224, ""glob_pattern"": 832, ""grep_search"": 1435, ""lint_or_typecheck"": 458, ""list_directory"": 1395, ""plan_task"": 499, ""read_file"": 2080, ""respond_only"": 1051, ""run_bash"": 1001, ""run_tests"": 908, ""web_search"": 280, ""write_file"": 305}",model_final_replay,experiments/logits/20260702_044710_gpu_transformer_session_current_v1_len192_replay-last1_S1-4b-final-focal-replay-len192-5ep-full-70k-ref_val_logits.pt,,,3433.028,1077.025,"train_transformer.py --data-dir /mnt/c/dacon/open/data --base-model xlm-roberta-base --serializer current_v1 --device cuda --epochs 5 --batch-size 16 --eval-batch-size 64 --max-length 192 --lr 2e-5 --loss focal --focal-gamma 2.0 --replay-mode last1 --max-replay-samples 10000 --replay-sample-weight 0.5 --tune-bias --final-model --output-dir model_final_replay --keep-threshold 0.0 --notes 'S1-4b final: focal+replay len192 5ep, full 70k refit (best pipeline recipe 0.7444)'","S1-4b final: focal+replay len192 5ep, full 70k refit (best pipeline recipe 0.7444)",keep as GPU candidate
